Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
6159,3310,6390,OC[C@@H]1COc2ccccc2O1,55.46,1.0,0.03,10.1039/C8QO00805A,OD,1.1281300217652204,1.1361622100689566
6256,3359,6488,COc1ccccc1[C@@H](CCCCC#N)C#N,71.52,0.25,0.2,10.1038/s41467/021/22127/x,OD,1.0708892617449666,1.084612817089453
6257,3359,6487,COc1ccccc1[C@H](CCCCC#N)C#N,76.59,0.25,0.2,10.1038/s41467/021/22127/x,OD,1.0708892617449666,1.084612817089453
6262,3362,6493,CC(=O)C[C@@H](c1ccccc1)c2cn(c3cc(Cl)ccc23)[S](=O)(=O)C(F)(F)F,40.8,0.5,0.02,10.1021/acs.orglett.8b00169,OD,1.7965686274509804,1.9285714285714288
6263,3362,6494,CC(=O)C[C@H](c1ccccc1)c2cn(c3cc(Cl)ccc23)[S](=O)(=O)C(F)(F)F,73.3,0.5,0.02,10.1021/acs.orglett.8b00169,OD,1.7965686274509804,1.9285714285714288
6302,3383,6534,CC(=O)C[C@@H](c1ccc(F)cc1)c2cn(c3ccccc23)[S](=O)(=O)C(F)(F)F,77.7,0.2,0.01,10.1021/acs.orglett.8b00169,OD,1.148005148005148,1.1819620253164556
6303,3383,6535,CC(=O)C[C@H](c1ccc(F)cc1)c2cn(c3ccccc23)[S](=O)(=O)C(F)(F)F,89.2,0.2,0.01,10.1021/acs.orglett.8b00169,OD,1.148005148005148,1.1819620253164556
6562,3540,6821,COc1ccc(N[C@H](C)C(=O)OC(C)C)cc1,9.3,1.0,0.02,10.1021/jacs.0c07210,OD,1.096774193548387,1.1406249999999998
6563,3540,6822,COc1ccc(N[C@@H](C)C(=O)OC(C)C)cc1,10.2,1.0,0.02,10.1021/jacs.0c07210,OD,1.096774193548387,1.1406249999999998
6564,3541,6823,CC(C)(C)c1ccc2c(OC(=O)[C@@]2(C)C(=O)Oc3ccccc3)c1,9.4,0.5,0.1,10.1039/C3CC47455K,OD,1.0851063829787233,1.222222222222222
6565,3541,6824,CC(C)(C)c1ccc2c(OC(=O)[C@]2(C)C(=O)Oc3ccccc3)c1,10.2,0.5,0.1,10.1039/C3CC47455K,OD,1.0851063829787233,1.222222222222222
6566,3542,6825,COc1ccc(Br)cc1C(C)(C)C[C@]2(Cc3sc4ccccc4c3C(=O)O2)C(F)(F)F,9.4,0.6,0.05,10.1002/anie.201305861,OD,1.0851063829787233,1.1751824817518246
6567,3542,6826,COc1ccc(Br)cc1C(C)(C)C[C@@]2(Cc3sc4ccccc4c3C(=O)O2)C(F)(F)F,10.2,0.6,0.05,10.1002/anie.201305861,OD,1.0851063829787233,1.1751824817518246
6800,3682,7082,C(C[C@]1(CC=CC=C1)c2ccccc2)c3cc(cc(c3)c4ccccc4)c5ccccc5,7.82,1.0,0.05,10.1021/jacs.0c09125,OD,1.3388746803069054,1.538617886178862
6801,3682,7083,C(C[C@@]1(CC=CC=C1)c2ccccc2)c3cc(cc(c3)c4ccccc4)c5ccccc5,10.47,1.0,0.05,10.1021/jacs.0c09125,OD,1.3388746803069054,1.538617886178862
6824,3696,7109,C[C@H](CCN1C(=O)c2ccccc2C1=O)c3cccc4ccccc34,10.5,0.8,0.1,10.1002/ntls.10021,OD,1.0761904761904764,1.1163636363636364
6825,3696,7108,C[C@@H](CCN1C(=O)c2ccccc2C1=O)c3cccc4ccccc34,11.3,0.8,0.1,10.1002/ntls.10021,OD,1.0761904761904764,1.1163636363636364
7120,3887,7447,CCOC(=O)[C@@H](C)Nc1ccc(OC)cc1,9.4,1.0,0.05,10.1021/jacs.0c07210,OD,1.148936170212766,1.2153846153846155
7121,3887,7448,CCOC(=O)[C@H](C)Nc1ccc(OC)cc1,10.8,1.0,0.05,10.1021/jacs.0c07210,OD,1.148936170212766,1.2153846153846155
7288,3995,7640,COC(=O)C[C@H](O)c1ccc(OC)cc1OC,105.3,0.5,0.01,10.1021/acs.orglett.9b02736,OD,1.113960113960114,1.120603015075377
7289,3995,7639,COC(=O)C[C@@H](O)c1ccc(OC)cc1OC,117.3,0.5,0.01,10.1021/acs.orglett.9b02736,OD,1.113960113960114,1.120603015075377
7328,4026,7691,Clc1cccc2C[C@@H](NC(=O)c3ccccc3)C(=O)Oc12,11.0,1.0,0.2,10.1002/anie.202110286,OD,1.7,1.9506172839506173
7329,4026,7690,Clc1cccc2C[C@H](NC(=O)c3ccccc3)C(=O)Oc12,18.7,1.0,0.2,10.1002/anie.202110286,OD,1.7,1.9506172839506173
7544,4157,7930,Fc1cccc2C[C@@H](NC(=O)c3ccccc3)C(=O)Oc12,11.2,1.0,0.2,10.1002/anie.202110286,OD,1.4285714285714286,1.5783132530120485
7545,4157,7929,Fc1cccc2C[C@H](NC(=O)c3ccccc3)C(=O)Oc12,16.0,1.0,0.2,10.1002/anie.202110286,OD,1.4285714285714286,1.5783132530120485
