Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
13589,7818,14613,Cc1nn(c(C)c1C)C(=O)/C=C/[C@@H](c2ccccc2)c3c([nH]c4cc(F)ccc34)[S](C)(=O)=O,19.361,1.0,0.2,10.1039/D0CC04590J,IE,1.2761007118375955,1.341346153846154
13608,7830,14635,CC(C)(C)[S](=O)(=O)N1[C@@H]2C=CCC[C@H]2C=C1c3ccc4ccccc4c3,19.4,1.0,0.2,10.1002/adsc.202000151,IE,1.113453608247423,1.1333939393939394
13609,7830,14634,CC(C)(C)[S](=O)(=O)N1[C@H]2C=CCC[C@H]2C=C1c3ccc4ccccc4c3,21.601,1.0,0.2,10.1002/adsc.202000151,IE,1.113453608247423,1.1333939393939394
13620,7839,14650,C[C@@H](\C=C\C=C)[C@]1(SC(=NC1=O)c2ccccc2)c3ccccc3,19.443,1.0,0.2,10.1021/acs.orglett.8b01697,IE,1.1190659877590905,1.1399383425013598
13621,7839,14649,C[C@H](\C=C\C=C)[C@]1(SC(=NC1=O)c2ccccc2)c3ccccc3,21.758,1.0,0.2,10.1021/acs.orglett.8b01697,IE,1.1190659877590905,1.1399383425013598
13650,7859,14685,CC(=O)N[C@H](CO)Cc1ccc(Cl)c(Cl)c1,19.5,0.8,0.1,10.1002/anie.201905263,IE,1.1846153846153846,1.226771653543307
13651,7859,14684,CC(=O)N[C@@H](CO)Cc1ccc(Cl)c(Cl)c1,23.1,0.8,0.1,10.1002/anie.201905263,IE,1.1846153846153846,1.226771653543307
13652,7860,14687,CC(=O)N[C@@H](Cc1ccc(Cl)c(Cl)c1)C=O,19.5,0.8,0.1,10.1002/anie.201905263,IE,1.1846153846153846,1.226771653543307
13653,7860,14686,CC(=O)N[C@H](Cc1ccc(Cl)c(Cl)c1)C=O,23.1,0.8,0.1,10.1002/anie.201905263,IE,1.1846153846153846,1.226771653543307
13664,7867,14700,COC(=O)[C@@H](Nc1ccc(OC)cc1)c2ccc(C)cc2,19.51,0.8,0.05,10.1038/s41467/020/19807/5,IE,1.2411583803177857,1.2961913755114889
13665,7867,14699,COC(=O)[C@H](Nc1ccc(OC)cc1)c2ccc(C)cc2,24.215,0.8,0.05,10.1038/s41467/020/19807/5,IE,1.2411583803177857,1.2961913755114889
13668,7869,14703,Cn1ccnc1C(=O)[C@H]([C@H](C=C)\C=C\c2ccccc2)c3ccc(C)c(C)c3,17.646,0.5,0.05,10.1002/anie.201908960,IE,1.1065397257168763,1.1587033597838932
