Unnamed: 0.1,index,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,alpha,beta
16205,9462,17564,CCCC[C@H](C=O)[C@H](NC(=O)OC(C)(C)C)c1ccc2ccccc2c1,38.8,0.5,0.05,10.1002/anie.201107473,ASH,1.4752851711026616,1.6097560975609757
16254,9499,17627,C[C](C[C@H](c1ccccc1)c2cccc(Cl)c2)=[C]3C(=O)O[C](C)(C)OC3=O,26.5,1.0,0.05,10.1039/C8CC00493E,ASH,1.181132075471698,1.2033898305084747
16255,9499,17626,C[C](C[C@@H](c1ccccc1)c2cccc(Cl)c2)=[C]3C(=O)O[C](C)(C)OC3=O,31.3,1.0,0.05,10.1039/C8CC00493E,ASH,1.181132075471698,1.2033898305084747
16316,9533,17692,O=C1N(Cc2ccccc2)c3ccccc3[C@]14OC(=Nc5nc6ccccc6n45)c7occc7,26.7,1.0,0.2,10.1002/anie.202016506,ASH,1.1685393258426966,1.1890756302521008
16317,9533,17691,O=C1N(Cc2ccccc2)c3ccccc3[C@@]14OC(=Nc5nc6ccccc6n45)c7occc7,31.2,1.0,0.2,10.1002/anie.202016506,ASH,1.1685393258426966,1.1890756302521008
16372,9577,17763,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccc(Br)cc13,16.57,0.8,0.3,10.1002/chem.201300977,ASH,1.6318648159324078,1.808806488991889
16373,9577,17764,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccc(Br)cc13,27.04,0.8,0.3,10.1002/chem.201300977,ASH,1.6318648159324078,1.808806488991889
16382,9583,17774,CC(C)C(=O)[C@H](C[N+]([O-])=O)c1ccccc1,21.0,0.5,0.05,10.1002/anie.201107473,ASH,1.2904761904761906,1.4013157894736843
16383,9583,17775,CC(C)C(=O)[C@@H](C[N+]([O-])=O)c1ccccc1,27.1,0.5,0.05,10.1002/anie.201107473,ASH,1.2904761904761906,1.4013157894736843
16388,9588,17782,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccc(Cl)cc13,16.33,0.8,0.3,10.1002/chem.201300977,ASH,1.6613594611145133,1.8500590318772137
16389,9588,17783,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(Cc2ccccc2)c3ccc(Cl)cc13,27.13,0.8,0.3,10.1002/chem.201300977,ASH,1.6613594611145133,1.8500590318772137
16392,9590,17786,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(CC=C)c2ccc(OC)cc12,22.03,0.8,0.3,10.1002/chem.201300977,ASH,1.2333182024512028,1.2792719369736487
16393,9590,17787,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(CC=C)c2ccc(OC)cc12,27.17,0.8,0.3,10.1002/chem.201300977,ASH,1.2333182024512028,1.2792719369736487
16534,9682,17950,COc1ccc2OCC[C@](C)(CI)c2c1,27.8,0.5,0.0,10.1021/jacs.9b04332,ASH,1.2302158273381296,1.290909090909091
16535,9682,17949,COc1ccc2OCC[C@@](C)(CI)c2c1,34.2,0.5,0.0,10.1021/jacs.9b04332,ASH,1.2302158273381296,1.290909090909091
16548,9695,17969,OC[C@]1(O)CCCCOC1,22.6,1.0,0.2,10.1002/anie.201509888,ASH,1.234513274336283,1.2690355329949237
16549,9695,17970,OC[C@@]1(O)CCCCOC1,27.9,1.0,0.2,10.1002/anie.201509888,ASH,1.234513274336283,1.2690355329949237
16588,9719,18013,COC(=O)C(C(=O)OC)[C@]1(CC=O)C(=O)N(Cc2ccccc2)c3cc(Br)ccc13,18.13,0.8,0.3,10.1002/chem.201300977,ASH,1.5460562603419747,1.6825232678386768
16589,9719,18014,COC(=O)C(C(=O)OC)[C@@]1(CC=O)C(=O)N(Cc2ccccc2)c3cc(Br)ccc13,28.03,0.8,0.3,10.1002/chem.201300977,ASH,1.5460562603419747,1.6825232678386768
