Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
16135,8656,C[C@@]1(C(=O)OCC=C)C(=O)Oc2cc(ccc12)c3ccccc3,22.4,0.6,0.05,10.1039/c6cc09451a,IC3
16140,8659,COc1ccc2c(OC(=O)[C@]2(C)C(=O)OCC=C)c1,20.4,0.6,0.05,10.1039/C9QO01025D,IC3
16141,8659,COc1ccc2c(OC(=O)[C@@]2(C)C(=O)OCC=C)c1,22.4,0.6,0.05,10.1039/C9QO01025D,IC3
16142,8660,Fc1cccc(c1)C(=O)C2(SCCCS2)[C@@H](C=Cc3ccccc3)c4ccccc4,21.6,0.3,0.02,10.1021/acs.orglett.6b03161,IC3
16143,8660,Fc1cccc(c1)C(=O)C2(SCCCS2)[C@H](C=Cc3ccccc3)c4ccccc4,22.4,0.3,0.02,10.1021/acs.orglett.6b03161,IC3
16175,8679,CC[C@H](NNC(=O)c1ccccc1)c2ccccc2,32.655,1.0,0.05,10.1002/anie.201909928,IC3
16191,8687,Cc1cccc(c1)[C@H]2CC(C)(C)C(=O)N2Cc3ccccc3,20.2,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
16192,8687,Cc1cccc(c1)[C@@H]2CC(C)(C)C(=O)N2Cc3ccccc3,22.5,0.6,0.15,10.1021/acs.orglett.7b00171,IC3
16193,8688,COc1ccc2c(OC(=O)[C@]2(C)C(=O)OCC=C)c1,20.7,0.6,0.05,10.1039/c6cc09451a,IC3
16194,8688,COc1ccc2c(OC(=O)[C@@]2(C)C(=O)OCC=C)c1,22.5,0.6,0.05,10.1039/c6cc09451a,IC3
16235,8712,CC(=C)[C@@]1(Cc2ccccc2)CC(=NN1[S](=O)(=O)c3ccc(C)cc3)c4ccccc4,58.0,0.8,0.25,10.1021/jacs.8b02865,IC3
16236,8712,CC(=C)[C@]1(Cc2ccccc2)CC(=NN1[S](=O)(=O)c3ccc(C)cc3)c4ccccc4,22.6,0.8,0.25,10.1021/jacs.8b02865,IC3
16237,8713,COc1ccccc1C2=C(C[C@@H](O2)C=C)C#N,24.175,0.8,0.05,10.1021/acs.orglett.0c01483,IC3
16238,8713,COc1ccccc1C2=C(C[C@H](O2)C=C)C#N,22.606,0.8,0.05,10.1021/acs.orglett.0c01483,IC3
16284,8739,C[C@@H](NC(C)=O)C#Cc1ccc(C)c(C)c1,19.374,1.0,0.1,10.1002/anie.202106566,IC3
16285,8739,C[C@H](NC(C)=O)C#Cc1ccc(C)c(C)c1,22.782,1.0,0.1,10.1002/anie.202106566,IC3
16343,8773,CCCCCC[C@@]1(CC(=NN1[S](=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)=C,20.6,0.8,0.25,10.1021/jacs.8b02865,IC3
16344,8773,CCCCCC[C@]1(CC(=NN1[S](=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)=C,22.9,0.8,0.25,10.1021/jacs.8b02865,IC3
16360,8783,CC(=O)N[C@@H](Cc1ccc(cc1)C(F)(F)F)C=O,22.9,0.8,0.1,10.1002/anie.201905263,IC3
16380,8794,C[C@@H](CNC(C)=O)c1cccc(C)c1,194.8,0.8,0.02,10.1039/c8cc02798f,IC3
16381,8794,C[C@H](CNC(C)=O)c1cccc(C)c1,224.7,0.8,0.02,10.1039/c8cc02798f,IC3
16390,8801,Fc1ccc(cc1)[C@H]2N[S](=O)(=O)Oc3ccccc23,16.1,1.0,0.1,10.1039/C6CC08759K,IC3
16391,8801,Fc1ccc(cc1)[C@@H]2N[S](=O)(=O)Oc3ccccc23,23.0,1.0,0.1,10.1039/C6CC08759K,IC3
