Unnamed: 0,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
20855,11323,CCOC(=O)C1=C(NC(=O)C[C@@H]1C(=O)N(Cc2ccccc2)Cc3ccccc3)c4ccccc4,31.413,1.0,0.3,10.1021/acs.orglett.0c00461,IE
20856,11323,CCOC(=O)C1=C(NC(=O)C[C@H]1C(=O)N(Cc2ccccc2)Cc3ccccc3)c4ccccc4,49.468,1.0,0.3,10.1021/acs.orglett.0c00461,IE
20901,11349,CC[C@](C(=C)B1OC(C)(C)C(C)(C)O1)(C(=O)c2ccc(cc2)C(C)(C)C)c3ccc(cc3)C(F)(F)F,6.18,0.8,0.03,10.1021/acscatal.9b02080,IE
20902,11349,CC[C@@](C(=C)B1OC(C)(C)C(C)(C)O1)(C(=O)c2ccc(cc2)C(C)(C)C)c3ccc(cc3)C(F)(F)F,5.01,0.8,0.03,10.1021/acscatal.9b02080,IE
20907,11352,CCCC1=C([C@H](CC(=O)N1)C(F)(F)F)C(=O)OC,4.59,1.0,0.15,10.1021/acs.orglett.0c00461,IE
20908,11352,CCCC1=C([C@@H](CC(=O)N1)C(F)(F)F)C(=O)OC,5.06,1.0,0.15,10.1021/acs.orglett.0c00461,IE
21048,11432,CC1(C)CC(=O)C2=C(C1)NC(=O)C[C@@H]2C(F)(F)F,4.736,1.0,0.3,10.1021/acs.orglett.0c00461,IE
21049,11432,CC1(C)CC(=O)C2=C(C1)NC(=O)C[C@H]2C(F)(F)F,5.337,1.0,0.3,10.1021/acs.orglett.0c00461,IE
21090,11458,Cn1ccnc1C(=O)[C@H]([C@H](C=C)\C=C\CCCOc2ccccc2)c3ccc(Br)cc3,6.587,1.0,0.2,10.1002/anie.201908960,IE
21091,11458,Cn1ccnc1C(=O)[C@@H]([C@H](C=C)\C=C\CCCOc2ccccc2)c3ccc(Br)cc3,5.415,1.0,0.2,10.1002/anie.201908960,IE
21283,11566,Cc1nn(C(=O)C=C[C@@H](N(Cc2ccccc2)C3CC3)c4ccccc4)c(C)c1C,5.516,1.0,0.02,10.1021/jacs.1c04367,IE
21284,11566,Cc1nn(C(=O)C=C[C@H](N(Cc2ccccc2)C3CC3)c4ccccc4)c(C)c1C,5.835,1.0,0.02,10.1021/jacs.1c04367,IE
21310,11583,CC[C@](C(=C)B1OC(C)(C)C(C)(C)O1)(C(=O)c2ccc(cc2)C(C)(C)C)c3ccc(cc3)C#N,6.59,0.8,0.3,10.1021/acscatal.9b02080,IE
